time,rv,rv_pos,rv_neg,bpv,tq,z_ratio,is_jump,crv,cj
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0
2018-01-02 00:00:00+00:00,3.726999193470907e-05,3.430408099485901e-06,3.3839583835223174e-05,1.2618039426841842e-05,6.393688976250521e-12,2.0761619606229798,True,1.2618039426841842e-05,2.465195250786723e-05
2018-01-03 00:00:00+00:00,0.00020219663650945243,0.00020154416919888045,6.524673105719986e-07,0.00024246036077473691,7.078386813630455e-09,-0.6250420308009242,False,0.00020219663650945243,0.0
2018-01-04 00:00:00+00:00,0.00010143520008684243,5.808488614705069e-05,4.335031393979175e-05,9.07092321772905e-05,7.783019212790114e-10,0.33190745642635544,False,0.00010143520008684243,0.0
2018-01-05 00:00:00+00:00,5.989889265857289e-05,1.2209935548784948e-05,4.768895710978794e-05,5.6878277262984775e-05,3.74831616979656e-10,0.15828721717625982,False,5.989889265857289e-05,0.0
2018-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0
2018-01-07 00:00:00+00:00,1.645091271788781e-07,1.645091271788781e-07,0.0,0.0,0.0,,False,1.645091271788781e-07,0.0
2018-01-08 00:00:00+00:00,0.0001051127905194436,7.465270034277992e-05,3.0460090176663686e-05,0.00012136948295706241,1.3713455200329223e-09,-0.4854514800886695,False,0.0001051127905194436,0.0
2018-01-09 00:00:00+00:00,0.0003419328367832235,0.00031968243042891094,2.22504063543125e-05,0.00024809090562445246,5.154284986517736e-09,0.8614405936844763,False,0.0003419328367832235,0.0
2018-01-10 00:00:00+00:00,1.1346777315950487e-05,6.373062492127199e-06,4.9737148238232885e-06,7.817007198943081e-06,4.6169903633038385e-12,0.9764344562081515,False,1.1346777315950487e-05,0.0
2018-01-11 00:00:00+00:00,0.00022000878629645378,0.00010671234062588467,0.00011329644567056911,0.00018722915516392527,4.013773411451333e-09,0.4676632495237518,False,0.00022000878629645378,0.0
2018-01-12 00:00:00+00:00,0.00011439621709941762,0.00010185598142425798,1.2540235675159635e-05,7.512138377317512e-05,9.557868993062341e-11,1.0776355092710266,False,0.00011439621709941762,0.0
2018-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0
2018-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0
2018-01-15 00:00:00+00:00,4.7192343862111025e-05,3.028864701169275e-05,1.690369685041828e-05,5.697398545854839e-05,4.724642127672304e-10,-0.6505930273264956,False,4.7192343862111025e-05,0.0
2018-01-16 00:00:00+00:00,7.287454367670276e-05,1.37168341714394e-06,7.15028602595588e-05,3.478368239723717e-05,1.4347758292799316e-10,1.640643228553602,False,7.287454367670276e-05,0.0
2018-01-17 00:00:00+00:00,8.558215268923708e-05,5.522584553388615e-05,3.035630715535091e-05,7.400661289214881e-05,1.0965890888381857e-09,0.42454844268536146,False,8.558215268923708e-05,0.0
2018-01-18 00:00:00+00:00,0.00017249800946027622,7.520818758284186e-06,0.00016497719070199203,8.407875354976912e-05,9.049701153818892e-10,1.608910825864623,False,0.00017249800946027622,0.0
2018-01-19 00:00:00+00:00,9.920641451060089e-05,8.772302164450712e-05,1.148339286609376e-05,6.208822115075901e-05,4.586510360680719e-10,1.174400647629483,False,9.920641451060089e-05,0.0
2018-01-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0
2018-01-21 00:00:00+00:00,1.3955524905084119e-06,1.3955524905084119e-06,0.0,0.0,0.0,,False,1.3955524905084119e-06,0.0
2018-01-22 00:00:00+00:00,7.91859508987684e-05,6.845287079577394e-05,1.073308010299447e-05,6.0441183882024576e-05,3.1511929279871296e-10,0.7430210482338426,False,7.91859508987684e-05,0.0
2018-01-23 00:00:00+00:00,4.6656046252088824e-05,3.979957736672908e-05,6.856468885359744e-06,5.708323405935011e-05,4.0317715521370717e-10,-0.7015012819604254,False,4.6656046252088824e-05,0.0
2018-01-24 00:00:00+00:00,0.00021877338623510202,0.00021817478316515595,5.986030699460869e-07,0.00022736280028978883,5.6599274407588945e-09,-0.12323618786028685,False,0.00021877338623510202,0.0
2018-01-25 00:00:00+00:00,0.0001232255269766164,8.13049422313126e-06,0.00011509503275348513,0.00011994562610652241,1.3219078967490104e-09,0.08354668836872596,False,0.0001232255269766164,0.0
2018-01-26 00:00:00+00:00,6.357821303497506e-05,6.300904490123801e-05,5.691681337370537e-07,6.245803799422625e-05,6.732328142083747e-10,0.05530275672314845,False,6.357821303497506e-05,0.0
2018-01-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0
2018-01-28 00:00:00+00:00,1.280145515563196e-06,1.280145515563196e-06,0.0,0.0,0.0,,False,1.280145515563196e-06,0.0
2018-01-29 00:00:00+00:00,9.526014282729611e-05,1.4536372888455645e-06,9.380650553845054e-05,8.740907765154947e-05,6.086492838401168e-10,0.2586941217074713,False,9.526014282729611e-05,0.0
2018-01-30 00:00:00+00:00,0.00023799984895735848,1.5397135520685523e-05,0.00022260271343667296,0.00014179405304888694,3.54482290830806e-09,1.2688017280018273,False,0.00023799984895735848,0.0
2018-01-31 00:00:00+00:00,5.8845251271072664e-05,5.869623529990095e-05,1.4901597117171477e-07,1.4499353746946977e-05,3.2134796193126316e-11,2.3654361707099527,True,1.4499353746946977e-05,4.434589752412569e-05
2018-02-01 00:00:00+00:00,0.00012936090657268034,0.00012936090657268034,0.0,6.091414692519692e-05,2.535882435259201e-10,1.660806548116772,False,0.00012936090657268034,0.0
